city,location,title,bhk,area_sqft,price_lakhs,price_per_sqft
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",3,1990,1.79,0.0
Hyderabad,Hyderabad,"3 BHK Villa for Sale in Raviryal, Outer Ring Road Hyderabad",3,2400,1.86,0.0
Hyderabad,Hyderabad,3 BHK Villa for Sale in Mansanpalle Hyderabad,3,3160,3.13,0.0
Hyderabad,Hyderabad,"2 BHK Flat  for Sale in Hastinapuram, Hyderabad",2,1255,83.3,0.07
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Nalagandla, Hyderabad",3,2878,3.16,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Kukatpally, NH 9, Hyderabad",3,2230,1.85,0.0
Hyderabad,Hyderabad,3 BHK Villa for Sale in Taramatipet Hyderabad,3,1930,1.01,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Narsingi, Outer Ring Road, Hyderabad",3,2320,2.2,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Osman Nagar, Hyderabad",3,1740,1.28,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Rajendranagar Mandal, Hyderabad",3,2433,2.09,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Dulapally, Hyderabad",3,1915,1.18,0.0
Hyderabad,Hyderabad,3 BHK Villa for Sale in Chevella Hyderabad,3,3620,3.67,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Kokapet, Outer Ring Road, Hyderabad",3,3390,3.74,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Neopolis, Hyderabad",3,2235,2.3,0.0
Hyderabad,Hyderabad,3 BHK Villa for Sale in Nagarjuna Sagar Road Hyderabad,3,2200,1.21,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Attapur, Hyderabad",3,2090,1.63,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Nalagandla, Hyderabad",3,2093,1.56,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Kompally, Hyderabad",3,1600,88.0,0.06
Hyderabad,Hyderabad,"2 BHK Flat  for Sale in Kollur, Outer Ring Road, Hyderabad",2,1430,1.0,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",3,2880,2.5,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Kokapet, Outer Ring Road, Hyderabad",3,2320,2.21,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Chanda Nagar, Hyderabad",3,1651,1.18,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Miyapur, NH 9, Hyderabad",3,1735,1.47,0.0
Hyderabad,Hyderabad,"2 BHK Flat  for Sale in Kismatpur, Outer Ring Road, Hyderabad",2,1151,91.2,0.08
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Madeenaguda, Hyderabad",3,2975,3.12,0.0
Hyderabad,Hyderabad,"2 BHK Flat  for Sale in Kollur, Outer Ring Road, Hyderabad",2,1385,1.05,0.0
Hyderabad,Hyderabad,3 BHK Villa for Sale in Medchal Hyderabad,3,3400,2.57,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Mallampet, Outer Ring Road, Hyderabad",3,1860,98.6,0.05
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Nalagandla, Hyderabad",3,2134,1.74,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Vanasthalipuram, NH 9, Hyderabad",3,1950,1.46,0.0
Hyderabad,Hyderabad,"2 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",2,1390,1.25,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Gundlapochampally, Outer Ring Road, Hyderabad",3,1691,94.7,0.06
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Pragathi Nagar, Kukatpally, Hyderabad",3,1843,1.06,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Chanda Nagar, Hyderabad",3,1815,1.28,0.0
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Nagole, Hyderabad",3,1505,75.2,0.05
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Sanath Nagar, NH 9, Hyderabad",3,1566,1.96,0.0
